Organization size;Organization Maturity Level;Organization has basic processes implemented;Organization basic processes utilization level;Organization has knowledge base system;Participant use internal knowledge base system;Perception of hidden knowledge existence;Perception of internal knowledge utilization;Perception of economic value of hidden knowledge;Participant gender;Participant age group;Participant years within organization
More than 500;Medium;Yes;High;Yes;Yes;Yes;25% to 50%;Large;Female;40-50;1-5 years
More than 500;Medium;Yes;Medium;No;We don't have such a system;Yes;Completely unutilized;Large;Male;30-40;5-10 years
More than 500;High;Yes;High;Yes;Yes;Yes;More than 75%;Medium;Male;50-60;5-10 years
More than 500;Medium;Yes;Medium;Yes;No;Yes;25% to 50%;Large;Female;20-30;1-5 years
100-500;Medium;Yes;Medium;Yes;Periodically;Yes;50% to 75%;Large;Male;20-30;5-10 years
100-500;High;Yes;Medium;Yes;Periodically;Yes;Less than 25%;Large;Male;30-40;5-10 years
More than 500;High;Yes;Medium;Yes;No;Yes;25% to 50%;Large;Female;30-40;5-10 years
More than 500;High;Yes;High;Yes;Yes;Yes;25% to 50%;Very large;Male;40-50;1-5 years
100-500;High;Yes;High;Yes;Yes;Yes;50% to 75%;Medium;Male;30-40;1-5 years
100-500;Medium;No;Low;Yes;No;Yes;Less than 25%;Large;Female;30-40;1-5 years
100-500;High;Yes;Medium;Yes;No;Yes;50% to 75%;Large;Male;20-30;5-10 years
More than 500;High;Yes;High;Yes;Periodically;Yes;More than 75%;Medium;Male;20-30;1-5 years
100-500;High;Yes;Medium;Yes;Periodically;Yes;25% to 50%;Medium;Female;20-30;1-5 years
100-500;High;Yes;High;Yes;Periodically;Yes;More than 75%;Medium;Female;30-40;1-5 years
More than 500;High;Yes;High;Yes;Yes;Yes;25% to 50%;Medium;Male;30-40;1-5 years
More than 500;High;Yes;High;Yes;Periodically;Yes;25% to 50%;Large;Male;50-60;More than 10 years
More than 500;High;Yes;Medium;No;We don't have such a system;Yes;50% to 75%;Large;Male;50-60;1-5 years
More than 500;Low;No;Low;No;We don't have such a system;Yes;Less than 25%;Medium;Male;40-50;5-10 years
More than 500;High;Yes;Medium;Yes;Yes;Yes;50% to 75%;Medium;Male;50-60;5-10 years
Less than 100;Medium;No;Low;Yes;Periodically;Yes;25% to 50%;Medium;Female;40-50;Less than 1 year
100-500;High;Yes;Medium;Yes;Yes;Yes;50% to 75%;Medium;Male;40-50;1-5 years
More than 500;High;Yes;High;Yes;Periodically;Yes;More than 75%;Medium;Male;20-30;Less than 1 year
Less than 100;Medium;No;Low;Yes;Yes;Yes;25% to 50%;Large;Male;50-60;5-10 years
Less than 100;Medium;Yes;Medium;Yes;Yes;Yes;More than 75%;Medium;Female;30-40;More than 10 years
More than 500;High;Yes;Medium;Yes;Periodically;Yes;Less than 25%;Large;Female;30-40;More than 10 years
Less than 100;High;Yes;Medium;Yes;Periodically;Yes;25% to 50%;Large;Male;40-50;1-5 years
More than 500;Medium;No;Low;Yes;No;Yes;25% to 50%;Medium;Male;30-40;More than 10 years
More than 500;High;Yes;Medium;Yes;Yes;Yes;50% to 75%;Very large;Male;50-60;1-5 years
